category,sub_category,brand_name,file_no,serial_no,design_code,shade_no,color_code,sale_price,unit,supplier,material,pattern,color_name,type,roll_rate,cut_rate,size
Wallpaper,,Decor India,Salzburg,26,AD609102,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,27,AD609103,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,24,AD609104,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,31,AD609105,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,23,AD609106,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,29,AD609202,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,28,AD609203,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,30,AD609205,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,25,AD609206,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Aglaia,28,AD609601,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,27,AD609603,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,29,AD609604,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,49,AG104701,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,50,AG104702,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,48,AG104705,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,45,AG104706,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,51,AG104801,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,52,AG104803,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,47,AG104805,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,46,AG104806,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Salzburg,11,GA145001,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,8,GA145003,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,9,GA145004,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,13,GA145005,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,15,GA145006,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Aglaia,31,SL146001,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,35,SL146002,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,37,SL146003,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,30,SL146005,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,39,SL146006,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,32,SL146101,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,34,SL146102,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,33,SL146103,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,36,SL146105,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,38,SL146106,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,21,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,23,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,24,,,,105,Square Ft,Madhur,,,,,2600/3200,,
