category,sub_category,brand_name,file_no,serial_no,design_code,shade_no,color_code,sale_price,unit,supplier,material,pattern,color_name,type,roll_rate,cut_rate,size
Fabric,Curtain,Pure,Basics,19,Iris Iory,,,,M,Pure,"Polyester-62%,Cotton-38%",,,,,,
Fabric,Curtain,Pure,Basics,20,Lily Ivory,,,,M,Pure,"Polyester-62%,Cotton-38%",,,,,,
Fabric,Curtain,Pure,Basics,21,Ria Ivory,,,,M,Pure,"Polyester-49%,Cotton-51%",,,,,,
Fabric,Curtain,Pure,Basics,22,Olivia Ivory,,,,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Basics,23,Ava Ivory,,,,M,Pure,"Polyester-62%,Cotton-38%",,,,,,
Fabric,Curtain,Pure,Basics,24,Annabell Ivory,,,,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Basics,25,Calypso Beige,,,,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Basics,26,Jasmine Beige,,,,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Basics,27,Iris Beige,,,,M,Pure,"Polyester-62%,Cotton-38%",,,,,,
Fabric,Curtain,Pure,Basics,28,Lily Beige,,,,M,Pure,"Polyester-62%,Cotton-38%",,,,,,
Fabric,Curtain,Pure,Basics,29,Ava Beige,,,,M,Pure,"Polyester-62%,Cotton-38%",,,,,,
Fabric,Curtain,Pure,Basics,30,Calypso White,,,,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Basics,31,Jasmine white,,,,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Basics,32,Iris White,,,,M,Pure,"Polyester-62%,Cotton-38%",,,,,,
Fabric,Curtain,Pure,Basics,33,Lily White,,,,M,Pure,"Polyester-62%,Cotton-38%",,,,,,
Fabric,Curtain,Pure,Basics,34,Ria White,,,,M,Pure,"Polyester-49%,Cotton-51%",,,,,,
Fabric,Curtain,Pure,Basics,35,Ava White,,,,M,Pure,"Polyester-62%,Cotton-38%",,,,,,
Fabric,Curtain,Pure,Basics,36,Annabell White,,,,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Tempo,1,Array Quill,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,2,Orbit Quill,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,3,Twist Quill,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,4,Linear Quill,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,5,Array Steel,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,6,Orbit Steel,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,7,Twist Steel,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,8,Linear Steel,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,9,Array Bayberry,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,10,Orbit Bayberry,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,11,Twist Bayberry,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,12,Linear Bayberry,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,13,Array Lime,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,14,Orbit Lime,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,15,Twist Lime,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,16,Linear Lime,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,17,Array Henna,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,18,Orbit Henna,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,19,Twist Henna,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,20,Linear Henna,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,21,Array Teal,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,22,Orbit Teal,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,23,Twist Teal,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,24,Linear Teal,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,25,Array Onyx,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,26,Orbit Onyx,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,27,Twist Onyx,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,28,Linear Onyx,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,29,Array Lava,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,30,Orbit Lava,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,31,Twist Lava,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,32,Linear Lava,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,33,Array Lacquer Red,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,34,Orbit Lacquer Red,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,35,Twist Lacquer Red,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Tempo,36,Linear Lacquer Red,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Voyage,1,Fretz Dove,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,2,Izar Dove,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,3,Dairly Dove,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,4,Tibeca Dove,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,5,Aster Dove,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,6,Fretz Fennel,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,7,Izar Fennel,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,8,Dairly Fennel,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,9,Tibeca Fennel,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,10,Aster Fennel,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,11,Fretz Sorbet,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,12,Izar Sorbet,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,13,Dairly Sorbet,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,14,Tibeca Sorbet,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,15,Aster Sorbet,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,16,Fretz Grasshopper,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,17,Izar Grasshopper,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,18,Dairly Grasshopper,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,19,Tibeca Grasshopper,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,20,Aster Grasshopper,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,21,Fretz Aruba,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,22,Izar Aruba,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,23,Dairly Aruba,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,24,Tibeca Aruba,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,25,Aster Aruba,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,26,Fretz Clover,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,27,Izar Clover,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,28,Dairly Clover,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,29,Tibeca Clover,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,30,Aster Clover,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,31,Fretz Nutmeg,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,32,Izar Nutmeg,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,33,Dairly Nutmeg,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,34,Tibeca Nutmeg,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,35,Aster Nutmeg,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,36,Fretz Gun Metal,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,37,Izar Gun Metal,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,38,Dairly Gun Metal,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,39,Tibeca Gun Metal,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Voyage,40,Aster Gun Metal,,,580,M,Pure,"Polyester-67%,Cotton-33%",,,,,,
Fabric,Curtain,Pure,Bonus,1,Ditcy Cream,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,2,D.Square Cream,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,3,D.Eckers Cream,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,4,Dice Cream,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,5,Divine Cream,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,6,Damask Cream,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,7,Ditcy Lime,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,8,D.Square Lime,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,10,Dice Lime,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,11,Divine Lime,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,12,Damask Lime,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,13,Ditcy Pink,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,14,D.Square Pink,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,15,D.Eckers Pink,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,16,Dice Pink,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,17,Divine Pink,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,18,Damask Pink,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,19,Ditcy Copper,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,20,D.Square Copper,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,21,D.Eckers Copper,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,22,Dice Copper,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,23,Divine Copper,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,24,Damask Copper,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,25,Ditcy Azurg,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,26,D.Square Azurg,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,27,D.Eckers Azurg,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,28,Dice Azurg,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,29,Divine Azurg,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,30,Damask Azurg,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,31,Ditcy Mocha,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,32,D.Square Mocha,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,33,D.Eckers Mocha,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,34,Dice Mocha,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,35,Divine Mocha,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,36,Damask Mocha,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,37,Ditcy Wine,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,38,D.Square Wine,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,39,D.Eckers Wine,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,40,Dice Wine,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,41,Divine Wine,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,42,Damask Wine,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,43,Ditcy Cocktail,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,44,D.Square Cocktail,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,45,D.Eckers Cocktail,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,46,Dice Cocktail,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,47,Divine Cocktail,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,48,Damask Cocktail,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,49,Ditcy Choco,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,50,D.Square Choco,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,51,D.Eckers Choco,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,52,Dice Choco,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,53,Divine Choco,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,54,Damask Choco,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,55,Ditcy Lead,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,56,D.Square Lead,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,57,D.Eckers Lead,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,58,Dice Lead,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,59,Divine Lead,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Bonus,60,Damask Lead,,,675,M,Pure,Polyester-100%,,,,,,
Fabric,Curtain,Pure,Oslin,1,Anokii Heather,,,,M,Pure,"Polyester-34.56%,Linen-65.44%",,,,,,
